name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Tekturna,aliskiren,Tablets and Oral Pellets  - formerly Rasilez,"March 5, 2007",Novartis,High Blood Pressure,https://www.drugs.com/tekturna.html,https://www.drugs.com/mtm/aliskiren.html,Renin inhibitors,https://www.drugs.com/images/pills/nlm/200000197.jpg,,7.3,29,https://www.drugs.com/comments/aliskiren/tekturna.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2007,,High Blood Pressure  ,7.2,27,https://www.drugs.com/comments/aliskiren/tekturna.html
Letairis,ambrisentan,Tablets,"June 15, 2007","Gilead Sciences, Inc.",Pulmonary Arterial Hypertension,https://www.drugs.com/letairis.html,https://www.drugs.com/mtm/ambrisentan.html,Agents for pulmonary hypertension,https://www.drugs.com/images/pills/fio/GIL08020.JPG,"sildenafil, tadalafil, Adcirca, ambrisentan, Revatio, Opsumit",8.9,11,https://www.drugs.com/comments/ambrisentan/letairis.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2007,,Pulmonary Arterial Hypertension  ,8.9,11,https://www.drugs.com/comments/ambrisentan/letairis.html
Azor,amlodipine and olmesartan,Tablets  - formerly amlodipine and olmesartan,"September 26, 2007","Daiichi Sankyo, Inc.",High Blood Pressure,https://www.drugs.com/azor.html,https://www.drugs.com/mtm/amlodipine-and-olmesartan.html,Angiotensin II inhibitors with calcium channel blockers,https://www.drugs.com/images/pills/nlm/655970110.jpg,,8.5,60,https://www.drugs.com/comments/amlodipine-olmesartan/azor.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,High Blood Pressure  ,8.5,60,https://www.drugs.com/comments/amlodipine-olmesartan/azor.html
Exforge,amlodipine and valsartan,Tablets,"June 20, 2007",Novartis,High Blood Pressure,https://www.drugs.com/exforge.html,https://www.drugs.com/mtm/amlodipine-and-valsartan.html,Angiotensin II inhibitors with calcium channel blockers,https://www.drugs.com/images/pills/nlm/000780488.jpg,"amlodipine, lisinopril, metoprolol, losartan, furosemide, hydrochlorothiazide",5.8,56,https://www.drugs.com/comments/amlodipine-valsartan/exforge.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,High Blood Pressure  ,5.8,56,https://www.drugs.com/comments/amlodipine-valsartan/exforge.html
Nuvigil,armodafinil,Tablets,"June 15, 2007","Cephalon, Inc.",Narcolepsy,https://www.drugs.com/nuvigil.html,https://www.drugs.com/mtm/armodafinil.html,CNS stimulants,https://www.drugs.com/images/pills/nlm/634590225.jpg,,7.3,249,https://www.drugs.com/comments/armodafinil/nuvigil.html,Prescription only,Risk data available,Some potential for abuse,Drug history at FDA,,Narcolepsy  ,6.5,88,https://www.drugs.com/comments/armodafinil/nuvigil.html
Combigan,brimonidine tartrate and timolol maleate,Ophthalmic Solution,"October 30, 2007",Allergan Inc.,"Intraocular Hypertension, Glaucoma",https://www.drugs.com/combigan.html,https://www.drugs.com/mtm/brimonidine-and-timolol-ophthalmic.html,Ophthalmic glaucoma agents,,,5.0,25,https://www.drugs.com/comments/brimonidine-timolol-ophthalmic/combigan.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,Anti-Doping Classification,Glaucoma  ,4.9,20,https://www.drugs.com/comments/brimonidine-timolol-ophthalmic/combigan.html
Amrix,cyclobenzaprine,Extended-Release Capsules,"February 1, 2007",ECR Pharmaceuticals,Muscle Spasm,https://www.drugs.com/cyclobenzaprine.html,https://www.drugs.com/mtm/amrix.html,Fexmid,https://www.drugs.com/images/pills/custom/pill30667-1/cyclobenzaprine-hydrochloride.png,"gabapentin, acetaminophen, ibuprofen, aspirin, tramadol, Paracetamol, naproxen",5.9,616,https://www.drugs.com/comments/cyclobenzaprine/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Muscle Spasm  ,5.5,378,https://www.drugs.com/comments/cyclobenzaprine/
Flector,diclofenac epolamine,Topical Patch,"January 31, 2007",Institut Biochimique SA,Pain,https://www.drugs.com/flector.html,https://www.drugs.com/mtm/diclofenac-topical.html,Topical non-steroidal anti-inflammatories,,,7.2,85,https://www.drugs.com/comments/diclofenac-topical/flector-patch.html,Prescription only,Risk data available,Not a controlled drug,,,Pain  ,7.2,84,https://www.drugs.com/comments/diclofenac-topical/flector-patch.html
Voltaren Gel,diclofenac sodium,Topical Gel,"October 17, 2007",GlaxoSmithKline Consumer Healthcare,Osteoarthritis,https://www.drugs.com/voltaren-gel.html,https://www.drugs.com/mtm/diclofenac-topical.html,Topical non-steroidal anti-inflammatories,,"gabapentin, acetaminophen, prednisone, ibuprofen, aspirin, meloxicam, tramadol",7.2,258,https://www.drugs.com/comments/diclofenac-topical/voltaren-arthritis-pain-gel.html,Over the counter,Risk data available,Not a controlled drug,,,Pain  ,7.1,155,https://www.drugs.com/comments/diclofenac-topical/voltaren-arthritis-pain-gel.html
Divigel,estradiol,Gel,"June 4, 2007",,Postmenopausal Symptoms,https://www.drugs.com/divigel.html,https://www.drugs.com/estradiol.html,Estrogens,,"estradiol, Premarin, Estrace, Prempro, conjugated estrogens",7.3,20,https://www.drugs.com/comments/estradiol/divigel.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Postmenopausal Symptoms  ,7.3,20,https://www.drugs.com/comments/estradiol/divigel.html
