name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Epiduo Forte,adapalene and benzoyl peroxide,Topical Gel,"July 15, 2015","Galderma Laboratories, L.P.",Acne,https://www.drugs.com/mtm/adapalene-and-benzoyl-peroxide-topical.html,https://www.drugs.com/epiduo.html,Epiduo Forte,,"doxycycline, clindamycin topical, erythromycin topical, tetracycline, Tazorac",7.3,938,https://www.drugs.com/comments/adapalene-benzoyl-peroxide-topical/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Acne  ,7.3,934,https://www.drugs.com/comments/adapalene-benzoyl-peroxide-topical/
ProAir RespiClick,albuterol sulfate,Inhalation Powder,"March 31, 2015",Teva Pharmaceutical Industries Ltd.,Asthma,https://www.drugs.com/mtm/proair-respiclick.html,https://www.drugs.com/albuterol.html,ProAir Digihaler,,"amoxicillin, albuterol, doxycycline, montelukast, azithromycin, ciprofloxacin, methylprednisolone",1.5,109,https://www.drugs.com/comments/albuterol/proair-respiclick.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,"Asthma, acute  ",1.8,69,https://www.drugs.com/comments/albuterol/proair-respiclick.html
Praluent,alirocumab,Injection,"July 24, 2015",Sanofi,"High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, Cardiovascular Risk Reduction",https://www.drugs.com/praluent.html,https://www.drugs.com/alirocumab.html,PCSK9 inhibitors,https://www.drugs.com/images/pills/custom/pill33126-1/praluent.png,,6.3,279,https://www.drugs.com/comments/alirocumab/praluent.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2015,,High Cholesterol  ,6.1,174,https://www.drugs.com/comments/alirocumab/praluent.html
Dyanavel XR,amphetamine,Extended-Release Oral Suspension and Extended-Release Tablets,"October 19, 2015","Tris Pharma, Inc.",Attention Deficit Hyperactivity Disorder (ADHD),https://www.drugs.com/dyanavel-xr.html,https://www.drugs.com/amphetamine.html,Adzenys ER,,"Adderall, Vyvanse, methylphenidate, atomoxetine, Concerta, Strattera",6.7,30,https://www.drugs.com/comments/amphetamine/dyanavel-xr.html,Prescription only,Risk data available,High potential for abuse,,,ADHD  ,6.7,30,https://www.drugs.com/comments/amphetamine/dyanavel-xr.html
Aristada,aripiprazole lauroxil,Injection,"October 5, 2015",Alkermes plc,Schizophrenia,https://www.drugs.com/aristada.html,https://www.drugs.com/aripiprazole.html,Atypical antipsychotics,https://www.drugs.com/images/pills/custom/pill32938-1/aristada.jpeg,"Vraylar, quetiapine, aripiprazole, Abilify, Seroquel, olanzapine, risperidone",4.0,16,https://www.drugs.com/comments/aripiprazole/aristada.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2015,,Schizophrenia  ,3.8,14,https://www.drugs.com/comments/aripiprazole/aristada.html
Enstilar,betamethasone dipropionate and calcipotriene,Foam,"October 16, 2015",LEO Pharma,Plaque Psoriasis,https://www.drugs.com/enstilar.html,https://www.drugs.com/mtm/betamethasone-and-calcipotriene-topical.html,Topical antipsoriatics,,,6.7,71,https://www.drugs.com/comments/betamethasone-calcipotriene-topical/enstilar.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,Anti-Doping Classification,Plaque Psoriasis  ,7.3,44,https://www.drugs.com/comments/betamethasone-calcipotriene-topical/enstilar.html
Rexulti,brexpiprazole,Tablets,"July 10, 2015","Otsuka Pharmaceutical Co., Ltd. and H. Lundbeck A/S","Major Depressive Disorder, Schizophrenia, Agitation Associated with Dementia Due to Alzheimer’s Disease",https://www.drugs.com/rexulti.html,https://www.drugs.com/mtm/brexpiprazole.html,Atypical antipsychotics,https://www.drugs.com/images/pills/fio/OTS00370.JPG,,6.4,446,https://www.drugs.com/comments/brexpiprazole/rexulti.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2015,,Major Depressive Disorder  ,6.4,233,https://www.drugs.com/comments/brexpiprazole/rexulti.html
Belbuca,buprenorphine hydrochloride,Buccal Film,"October 23, 2015",Endo Pharmaceuticals Inc.,Chronic Pain,https://www.drugs.com/belbuca.html,https://www.drugs.com/buprenorphine.html,Opioids (narcotic analgesics),https://www.drugs.com/images/pills/custom/pill34281-1/belbuca.jpeg,,4.5,247,https://www.drugs.com/comments/buprenorphine/belbuca.html,Prescription only,Risk data available,Moderate abuse potential,Drug history at FDA,Anti-Doping Classification,Chronic Pain  ,4.5,223,https://www.drugs.com/comments/buprenorphine/belbuca.html
Rytary,carbidopa and levodopa,Extended Release Capsules,"January 7, 2015","Impax Laboratories, Inc.",Parkinson's Disease,https://www.drugs.com/mtm/carbidopa-and-levodopa.html,https://www.drugs.com/mtm/dhivy.html,Rytary,https://www.drugs.com/images/pills/custom/pill32535-1/carbidopa-and-levodopa.png,"ropinirole, pramipexole, benztropine, carbidopa / levodopa, Sinemet, Exelon, Gocovri",7.2,92,https://www.drugs.com/comments/carbidopa-levodopa/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Parkinson's Disease  ,6.5,56,https://www.drugs.com/comments/carbidopa-levodopa/
Vraylar,cariprazine,Capsules,"September 17, 2015",Allergan and Gedeon Richter plc,"Schizophrenia, Bipolar Disorder, Major Depressive Disorder",https://www.drugs.com/vraylar.html,https://www.drugs.com/cariprazine.html,Atypical antipsychotics,https://www.drugs.com/images/pills/fio/AGN01150.JPG,,5.8,472,https://www.drugs.com/comments/cariprazine/vraylar.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2015,,Bipolar Disorder  ,5.8,362,https://www.drugs.com/comments/cariprazine/vraylar.html
Genvoya,"cobicistat, elvitegravir, emtricitabine and tenofovir alafenamide",Tablets,"November 5, 2015","Gilead Sciences, Inc.",HIV Infection,https://www.drugs.com/genvoya.html,https://www.drugs.com/cons/elvitegravir-cobicistat-emtricitabine-and-tenofovir-alafenamide.html,Antiviral combinations,https://www.drugs.com/images/pills/fio/GIL19010.JPG,"Descovy, Truvada, Atripla, Epzicom, Stribild, Complera",7.3,128,https://www.drugs.com/comments/cobicistat-elvitegravir-emtricitabine-tenofovir-alafenamide/genvoya.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,HIV Infection  ,7.3,127,https://www.drugs.com/comments/cobicistat-elvitegravir-emtricitabine-tenofovir-alafenamide/genvoya.html
Daklinza,daclatasvir,Tablets,"July 24, 2015",Bristol-Myers Squibb Company,Hepatitis C,https://www.drugs.com/daklinza.html,https://www.drugs.com/cons/daclatasvir.html,NS5A inhibitors,https://www.drugs.com/images/pills/fio/BMS02150.JPG,"Epclusa, Harvoni, Vosevi, Mavyret, sofosbuvir / velpatasvir, Sovaldi",9.8,10,https://www.drugs.com/comments/daclatasvir/daklinza.html,Discontinued,Risk data available,Not a controlled drug, FDA approved 2015,,Hepatitis C  ,9.8,10,https://www.drugs.com/comments/daclatasvir/daklinza.html
