name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Avaclyr,acyclovir,Ophthalmic Ointment,"March 29, 2019",Fera Pharmaceuticals,Herpes Simplex Dendritic Keratitis,https://www.drugs.com/ppa/acyclovir-ophthalmic.html,,,,,7.6,77,https://www.drugs.com/comments/acyclovir-topical/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Cold Sores  ,7.3,61,https://www.drugs.com/comments/acyclovir-topical/
Hadlima,adalimumab-bwwd,Injection,"July 23, 2019","Samsung Bioepis Co., Ltd.","Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",https://www.drugs.com/mtm/hadlima-prefilled-syringe.html,https://www.drugs.com/abrilada.html,Cyltezo,https://www.drugs.com/images/pills/custom/pill32858-2/humira.png,,6.3,705,https://www.drugs.com/comments/adalimumab/,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Rheumatoid Arthritis  ,6.2,146,https://www.drugs.com/comments/adalimumab/
Talicia,"amoxicillin, omeprazole and rifabutin",Delayed-Release Capsules,"November 4, 2019",RedHill Biopharma Ltd.,Helicobacter Pylori Infection,https://www.drugs.com/mtm/talicia.html,https://www.drugs.com/mtm/amoxicillin-omeprazole-and-rifabutin.html,H. pylori eradication agents,,,6.8,20,https://www.drugs.com/comments/amoxicillin-omeprazole-rifabutin/talicia.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Helicobacter Pylori Infection  ,6.8,20,https://www.drugs.com/comments/amoxicillin-omeprazole-rifabutin/talicia.html
Vyleesi,bremelanotide,Injection,"June 21, 2019","AMAG Pharmaceuticals, Inc.",Hypoactive Sexual Desire Disorder,https://www.drugs.com/vyleesi.html,https://www.drugs.com/mtm/bremelanotide.html,Melanocortin receptor agonists,,,7.8,25,https://www.drugs.com/comments/bremelanotide/vyleesi.html,Prescription only,Risk data available,Not a controlled drug,,,Hypoactive Sexual Desire Disorder  ,7.8,25,https://www.drugs.com/comments/bremelanotide/vyleesi.html
Xcopri,cenobamate,Tablets,"November 21, 2019","SK Life Science, Inc.",Seizures,https://www.drugs.com/xcopri.html,https://www.drugs.com/mtm/cenobamate.html,Carbamate anticonvulsants,https://www.drugs.com/images/pills/fio/SKL02000.JPG,,8.8,22,https://www.drugs.com/comments/cenobamate/xcopri.html,Prescription only,Risk data available,Some potential for abuse, FDA approved 2019,,Seizures  ,8.7,21,https://www.drugs.com/comments/cenobamate/xcopri.html
Dovato,dolutegravir and lamivudine,Tablets,"April 8, 2019",ViiV Healthcare,HIV Infection,https://www.drugs.com/dovato.html,https://www.drugs.com/mtm/dolutegravir-and-lamivudine.html,Antiviral combinations,https://www.drugs.com/images/pills/fio/VII02460.JPG,,6.4,44,https://www.drugs.com/comments/dolutegravir-lamivudine/dovato.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,HIV Infection  ,6.4,44,https://www.drugs.com/comments/dolutegravir-lamivudine/dovato.html
Slynd,drospirenone,Tablets,"May 23, 2019",Exeltis,Birth Control,https://www.drugs.com/slynd.html,https://www.drugs.com/mtm/drospirenone.html,Progestins,https://www.drugs.com/images/pills/custom/pill29094-1/slynd.jpeg,,5.6,353,https://www.drugs.com/comments/drospirenone/slynd.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Birth Control  ,5.5,340,https://www.drugs.com/comments/drospirenone/slynd.html
Spravato,esketamine,Nasal Spray,"March 5, 2019","Janssen Pharmaceuticals, Inc.","Depression, Major Depressive Disorder with Acute Suicidal Ideation",https://www.drugs.com/spravato.html,https://www.drugs.com/mtm/esketamine-nasal.html,Miscellaneous antidepressants,,"Trintellix, Vraylar, sertraline, trazodone, Lexapro, Zoloft, citalopram",6.2,117,https://www.drugs.com/comments/esketamine/spravato.html,Prescription only,Risk data available,Moderate abuse potential,,,Depression  ,5.5,64,https://www.drugs.com/comments/esketamine/spravato.html
EluRyng,ethinyl estradiol and etonogestrel,Vaginal Ring,"December 11, 2019","Amneal Pharmaceuticals, Inc.",Birth Control,https://www.drugs.com/pro/eluryng-vaginal-ring.html,https://www.drugs.com/mtm/ethinyl-estradiol-and-etonogestrel-vaginal-ring.html,Contraceptives,,,2.3,126,https://www.drugs.com/comments/ethinyl-estradiol-etonogestrel/eluryng.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Birth Control  ,2.3,122,https://www.drugs.com/comments/ethinyl-estradiol-etonogestrel/eluryng.html
Enhertu,fam-trastuzumab deruxtecan-nxki,Injection,"December 20, 2019","AstraZeneca and Daiichi Sankyo Company, Limited","Breast Cancer, Gastric Cancer, Non-Small Cell Lung Cancer, Solid Tumors",https://www.drugs.com/enhertu.html,https://www.drugs.com/mtm/fam-trastuzumab-deruxtecan.html,HER2 inhibitors,https://www.drugs.com/images/pills/custom/pill32696-2/enhertu.jpeg,"Verzenio, Ibrance, Opdivo, methotrexate, Keytruda, hydroxyurea, Avastin",7.9,21,https://www.drugs.com/comments/fam-trastuzumab-deruxtecan/enhertu.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,"Breast Cancer, Metastatic  ",7.7,13,https://www.drugs.com/comments/fam-trastuzumab-deruxtecan/enhertu.html
