name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Lastacaft,alcaftadine,Ophthalmic Solution,"July 28, 2010","Allergan, Inc.","Conjunctivitis, Allergic",https://www.drugs.com/lastacaft.html,https://www.drugs.com/mtm/alcaftadine-ophthalmic.html,Ophthalmic antihistamines and decongestants,,,4.5,30,https://www.drugs.com/comments/alcaftadine-ophthalmic/lastacaft.html,Over the counter,Risk data available,Not a controlled drug, FDA approved 2010,,"Conjunctivitis, Allergic  ",4.5,28,https://www.drugs.com/comments/alcaftadine-ophthalmic/lastacaft.html
Tribenzor,"amlodipine, hydrochlorothiazide and olmesartan",Tablets,"July 23, 2010","Daiichi Sankyo, Inc.",High Blood Pressure,https://www.drugs.com/tribenzor.html,https://www.drugs.com/mtm/amlodipine-hydrochlorothiazide-and-olmesartan.html,Miscellaneous antihypertensive combinations,https://www.drugs.com/images/pills/nlm/655970117.jpg,,7.5,20,https://www.drugs.com/comments/amlodipine-hydrochlorothiazide-olmesartan/tribenzor.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,Anti-Doping Classification,High Blood Pressure  ,7.5,20,https://www.drugs.com/comments/amlodipine-hydrochlorothiazide-olmesartan/tribenzor.html
Butrans,buprenorphine,Transdermal System,"June 30, 2010",Purdue Pharma L.P.,Pain,https://www.drugs.com/butrans.html,https://www.drugs.com/buprenorphine.html,Opioids (narcotic analgesics),,,6.3,229,https://www.drugs.com/comments/buprenorphine/butrans.html,Prescription only,Risk data available,Moderate abuse potential,Drug history at FDA,Anti-Doping Classification,Chronic Pain  ,6.0,152,https://www.drugs.com/comments/buprenorphine/butrans.html
Veltin,clindamycin and tretinoin,Gel  - formerly Velac,"July 16, 2010","Stiefel  Laboratories, Inc.",Acne,https://www.drugs.com/veltin.html,https://www.drugs.com/mtm/clindamycin-and-tretinoin-topical.html,Ziana,,,7.4,42,https://www.drugs.com/comments/clindamycin-tretinoin-topical/veltin.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Acne  ,7.4,42,https://www.drugs.com/comments/clindamycin-tretinoin-topical/veltin.html
Kapvay,clonidine hydrochloride,Extended-Release Tablets,"September 28, 2010",Shionogi Inc.,Attention Deficit Hyperactivity Disorder (ADHD),https://www.drugs.com/kapvay.html,https://www.drugs.com/clonidine.html,"Antiadrenergic agents, centrally acting",https://www.drugs.com/images/pills/nlm/59630-0658-60_NLMIMAGE10_853BC2AE.jpg,,7.4,18,https://www.drugs.com/comments/clonidine/kapvay.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,Anti-Doping Classification,ADHD  ,7.4,18,https://www.drugs.com/comments/clonidine/kapvay.html
Xiaflex,collagenase clostridium histolyticum,,"February 3, 2010",BioSpecifics Technologies Corp.,Dupuytren's Contracture,https://www.drugs.com/xiaflex.html,https://www.drugs.com/mtm/collagenase-clostridium-histolyticum.html,Miscellaneous uncategorized agents,https://www.drugs.com/images/pills/custom/pill33107-1/xiaflex.jpeg,collagenase clostridium histolyticum,2.9,97,https://www.drugs.com/comments/collagenase-clostridium-histolyticum/xiaflex.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2010,,Peyronie's Disease  ,2.3,56,https://www.drugs.com/comments/collagenase-clostridium-histolyticum/xiaflex.html
Pradaxa,dabigatran etexilate,Capsules and Oral Pellets,"October 19, 2010","Boehringer Ingelheim Pharmaceuticals, Inc.","Prevention of Thromboembolism in Atrial Fibrillation, Deep Vein Thrombosis, Pulmonary Embolism, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Venous Thromboembolism",https://www.drugs.com/pradaxa.html,https://www.drugs.com/mtm/dabigatran.html,Thrombin inhibitors,https://www.drugs.com/images/pills/fio/BIH03600.JPG,,7.1,96,https://www.drugs.com/comments/dabigatran/pradaxa.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2010,,Prevention of Thromboembolism in Atrial Fibrillation  ,7.2,77,https://www.drugs.com/comments/dabigatran/pradaxa.html
Ampyra,dalfampridine,Extended Release Tablets  - formerly Fampridine-SR,"January 22, 2010","Acorda Therapeutics, Inc.",Multiple Sclerosis,https://www.drugs.com/ampyra.html,https://www.drugs.com/mtm/dalfampridine.html,Miscellaneous central nervous system agents,https://www.drugs.com/images/pills/nlm/101440427.jpg,"Vumerity, Mavenclad, Zeposia, Copaxone, Aubagio, Gilenya, Tysabri",8.0,77,https://www.drugs.com/comments/dalfampridine/ampyra.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2010,,Multiple Sclerosis  ,8.0,77,https://www.drugs.com/comments/dalfampridine/ampyra.html
Prolia,denosumab,Injection,"June 1, 2010",Amgen Inc.,Osteoporosis,https://www.drugs.com/prolia.html,https://www.drugs.com/denosumab.html,Miscellaneous bone resorption inhibitors,https://www.drugs.com/images/pills/custom/pill32888-1/prolia.jpeg,,2.7,362,https://www.drugs.com/comments/denosumab/prolia.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2010,,Osteoporosis  ,2.7,360,https://www.drugs.com/comments/denosumab/prolia.html
Xgeva,denosumab,Injection,"November 18, 2010",Amgen Inc.,"Osteolytic Bone Metastases of Solid Tumors, Osteolytic Bone Lesions of Multiple Myeloma, Giant Cell Tumor of Bone, Hypercalcemia of Malignancy",https://www.drugs.com/xgeva.html,https://www.drugs.com/denosumab.html,Miscellaneous bone resorption inhibitors,https://www.drugs.com/images/pills/custom/pill33120-1/xgeva.jpeg,,7.0,10,https://www.drugs.com/comments/denosumab/xgeva.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2010,,Osteolytic Bone Metastases of Solid Tumors  ,7.3,7,https://www.drugs.com/comments/denosumab/xgeva.html
