name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Breztri Aerosphere,budesonide/glycopyrrolate/formoterol fumarate,Metered Dose Inhalation,"July 23, 2020",AstraZeneca,COPD,https://www.drugs.com/breztri-aerosphere.html,https://www.drugs.com/mtm/budesonide-formoterol-and-glycopyrrolate.html,Bronchodilator combinations,https://www.drugs.com/images/pills/custom/pill33125-1/breztri-aerosphere.png,"Trelegy Ellipta, prednisone, Symbicort, Ventolin HFA, Ventolin, Breo Ellipta, Spiriva",7.0,76,https://www.drugs.com/comments/budesonide-formoterol-glycopyrrolate/breztri-aerosphere.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,Anti-Doping Classification,"COPD, Maintenance  ",7.0,35,https://www.drugs.com/comments/budesonide-formoterol-glycopyrrolate/breztri-aerosphere.html
Xywav,"calcium, magnesium, potassium, and sodium oxybates",Oral Solution,"July 21, 2020",Jazz Pharmaceuticals plc,Narcolepsy; Idiopathic Hypersomnia,https://www.drugs.com/xywav.html,https://www.drugs.com/mtm/calcium-magnesium-potassium-and-sodium-oxybates.html,"Miscellaneous anxiolytics, sedatives and hypnotics",https://www.drugs.com/images/pills/custom/pill33124-1/xywav.png,"Xyrem, Adderall, methylphenidate, Concerta, Ritalin, modafinil, dextroamphetamine",8.0,14,https://www.drugs.com/comments/calcium-oxybate-magnesium-oxybate-potassium-oxybate-sodium-oxybate/xywav.html,Prescription only,Risk data available,Moderate abuse potential,Drug history at FDA,,Narcolepsy  ,8.1,9,https://www.drugs.com/comments/calcium-oxybate-magnesium-oxybate-potassium-oxybate-sodium-oxybate/xywav.html
Phexxi,"lactic acid, citric acid and potassium bitartrate",Vaginal Gel  - formerly Amphora,"May 22, 2020","Evofem, Inc.",Birth Control,https://www.drugs.com/phexxi.html,https://www.drugs.com/mtm/citric-acid-lactic-acid-and-potassium-bitartrate.html,Miscellaneous vaginal agents,,"norethindrone, medroxyprogesterone, levonorgestrel, Provera, Mirena, Yaz",4.9,26,https://www.drugs.com/comments/citric-acid-lactic-acid-potassium-bitartrate-topical/phexxi.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Birth Control  ,4.9,26,https://www.drugs.com/comments/citric-acid-lactic-acid-potassium-bitartrate-topical/phexxi.html
Vyepti,eptinezumab-jjmr,Injection,"February 21, 2020",Lundbeck,Migraine Prevention,https://www.drugs.com/vyepti.html,https://www.drugs.com/mtm/eptinezumab.html,CGRP inhibitors,https://www.drugs.com/images/pills/custom/pill33162-1/vyepti.jpeg,,5.1,32,https://www.drugs.com/comments/eptinezumab/vyepti.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,Migraine Prevention  ,5.1,32,https://www.drugs.com/comments/eptinezumab/vyepti.html
Semglee,insulin glargine-yfgn,Injection,"June 11, 2020",Mylan Pharmaceuticals Inc.,"Diabetes, Type 1, Diabetes, Type 2",https://www.drugs.com/semglee.html,https://www.drugs.com/insulin-glargine.html,Insulin,,,3.8,11,https://www.drugs.com/comments/insulin-glargine/semglee.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,"Diabetes, Type 2  ",4.5,9,https://www.drugs.com/comments/insulin-glargine/semglee.html
Sutab,"sodium sulfate, magnesium sulfate, and potassium chloride",Tablets,"November 10, 2020","Sebela Pharmaceuticals, Inc.",Bowel Preparation,https://www.drugs.com/sutab.html,https://www.drugs.com/mtm/magnesium-sulfate-potassium-chloride-and-sodium-sulfate.html,Laxatives,https://www.drugs.com/images/pills/custom/pill31012-1.webp,,6.0,113,https://www.drugs.com/comments/magnesium-sulfate-potassium-chloride-sodium-sulfate/sutab.html,Prescription only,,Not a controlled drug,Drug history at FDA,,Bowel Preparation  ,6.0,113,https://www.drugs.com/comments/magnesium-sulfate-potassium-chloride-sodium-sulfate/sutab.html
Kesimpta,ofatumumab,Injection,"August 20, 2020",Novartis,Multiple Sclerosis,https://www.drugs.com/kesimpta.html,https://www.drugs.com/mtm/ofatumumab.html,CD20 monoclonal antibodies,https://www.drugs.com/images/pills/custom/pill33130-1/kesimpta.jpeg,"Vumerity, Mavenclad, Zeposia, Copaxone, Aubagio, Gilenya, Tysabri",6.7,60,https://www.drugs.com/comments/ofatumumab/kesimpta.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Multiple Sclerosis  ,6.7,60,https://www.drugs.com/comments/ofatumumab/kesimpta.html
Upneeq,oxymetazoline hydrochloride,Ophthalmic Solution,"July 8, 2020",Osmotica Pharmaceuticals plc,Blepharoptosis,https://www.drugs.com/mtm/upneeq.html,https://www.drugs.com/mtm/oxymetazoline-ophthalmic.html,,,oxymetazoline ophthalmic,8.0,16,https://www.drugs.com/comments/oxymetazoline-ophthalmic/upneeq.html,Prescription only,,Not a controlled drug,Drug history at FDA,,Blepharoptosis  ,7.8,13,https://www.drugs.com/comments/oxymetazoline-ophthalmic/upneeq.html
Orgovyx,relugolix,Tablets,"December 18, 2020",Myovant Sciences,Prostate Cancer,https://www.drugs.com/orgovyx.html,https://www.drugs.com/relugolix.html,Gonadotropin-releasing hormone antagonists,https://www.drugs.com/images/pills/custom/pill31255-1/orgovyx.png,,7.7,15,https://www.drugs.com/comments/relugolix/orgovyx.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,Prostate Cancer  ,7.7,15,https://www.drugs.com/comments/relugolix/orgovyx.html
Nurtec ODT,rimegepant,Orally Disintegrating Tablets,"February 27, 2020",Biohaven Pharmaceutical Holding Company Ltd.,"<a href=""https://www.drugs.com/condition/migraine.html"">Migraine</a>; <a href=""https://www.drugs.com/condition/migraine-prophylaxis.html"">Migraine Prophylaxis</a>",https://www.drugs.com/nurtec-odt.html,https://www.drugs.com/rimegepant.html,CGRP inhibitors,https://www.drugs.com/images/pills/custom/pill30088-1/nurtec-odt.jpg,,6.2,287,https://www.drugs.com/comments/rimegepant/nurtec-odt.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,Migraine  ,6.1,234,https://www.drugs.com/comments/rimegepant/nurtec-odt.html
Gemtesa,vibegron,Tablets,"December 23, 2020",Urovant Sciences,Overactive Bladder,https://www.drugs.com/gemtesa.html,https://www.drugs.com/vibegron.html,Urinary antispasmodics,https://www.drugs.com/images/pills/custom/pill31256-1/gemtesa.png,,7.4,141,https://www.drugs.com/comments/vibegron/gemtesa.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,Overactive Bladder  ,7.4,136,https://www.drugs.com/comments/vibegron/gemtesa.html
Ayvakit,avapritinib,Tablets,"January 9, 2020",Blueprint Medicines Corporation,"Gastrointestinal Stromal Tumor, Systemic Mastocytosis",https://www.drugs.com/ayvakit.html,https://www.drugs.com/mtm/avapritinib.html,Multikinase inhibitors,https://www.drugs.com/images/pills/fio/BLU01100.JPG,,,,,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,,,,
Blenrep,belantamab mafodotin-blmf,Injection,"August 5, 2020",GlaxoSmithKline plc,Multiple Myeloma,https://www.drugs.com/blenrep.html,https://www.drugs.com/mtm/belantamab-mafodotin.html,Miscellaneous antineoplastics,,"Abecma, Velcade, Revlimid, Darzalex, Pomalyst, Kyprolis, Ninlaro",,,,Prescription only,Risk data available,Not a controlled drug,,,,,,
Bronchitol,mannitol,Inhalation Powder,"October 30, 2020","Chiesi USA, Inc.",Cystic Fibrosis,https://www.drugs.com/bronchitol.html,https://www.drugs.com/mtm/mannitol-inhalation.html,,,"azithromycin, Zithromax, gentamicin, Creon, tobramycin",,,,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,Anti-Doping Classification,,,,
Danyelza,naxitamab-gqgk,Injection,"November 25, 2020","Y-mAbs Therapeutics, Inc.",Neuroblastoma,https://www.drugs.com/danyelza.html,https://www.drugs.com/mtm/naxitamab.html,Miscellaneous antineoplastics,,"doxorubicin, cisplatin, vincristine, Adriamycin, Iwilfin, Platinol",,,,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,,,,
Darzalex Faspro,daratumumab and hyaluronidase-fihj,Injection,"May 1, 2020",The Janssen Pharmaceutical Companies of Johnson & Johnson,Multiple Myeloma; Light Chain (AL) Amyloidosis,https://www.drugs.com/darzalex-faspro.html,https://www.drugs.com/mtm/daratumumab-and-hyaluronidase.html,CD38 monoclonal antibodies,https://www.drugs.com/images/pills/custom/pill33208-1.webp,,,,,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,
Dojolvi,triheptanoin,Oral Liquid,"June 30, 2020",Ultragenyx Pharmaceutical Inc.,Long-Chain Fatty Acid Oxidation Disorders,https://www.drugs.com/dojolvi.html,https://www.drugs.com/mtm/triheptanoin.html,Oral nutritional supplements,,,,,,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,,,,
Elyxyb,celecoxib,Oral Solution,"May 5, 2020",Dr. Reddy’s Laboratories Limited,Migraine,https://www.drugs.com/elyxyb.html,https://www.drugs.com/celecoxib.html,Cox-2 inhibitors,https://www.drugs.com/images/pills/custom/pill33245-1/elyxyb.jpeg,"ibuprofen, amitriptyline, propranolol, diclofenac, topiramate, celecoxib",,,,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,
Enspryng,satralizumab-mwge,Injection,"August 14, 2020",Genentech,Neuromyelitis Optica Spectrum Disorder,https://www.drugs.com/enspryng.html,https://www.drugs.com/mtm/satralizumab.html,Interleukin inhibitors,,,,,,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,,,,
Evrysdi,risdiplam,for Oral Solution,"August 7, 2020",Genentech,Spinal Muscular Atrophy,https://www.drugs.com/evrysdi.html,https://www.drugs.com/mtm/risdiplam.html,Miscellaneous uncategorized agents,https://www.drugs.com/images/pills/custom/pill33248-1.webp,"Spinraza, Zolgensma, nusinersen, risdiplam",,,,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,
Eysuvis,loteprednol etabonate,Ophthalmic Suspension,"October 26, 2020","Kala Pharmaceuticals, Inc.",Dry Eye Disease,https://www.drugs.com/eysuvis.html,https://www.drugs.com/mtm/loteprednol-ophthalmic.html,Ophthalmic steroids,https://www.drugs.com/images/pills/custom/pill33237-1/eysuvis.jpeg,,,,,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,
Fintepla,fenfluramine,Oral Solution,"June 25, 2020","Zogenix, Inc.","Dravet Syndrome, Lennox-Gastaut Syndrome",https://www.drugs.com/fintepla.html,https://www.drugs.com/mtm/fenfluramine.html,CNS stimulants,https://www.drugs.com/images/pills/custom/pill33123-1/fintepla.jpeg,,,,,Prescription only,Risk data available,Some potential for abuse,Drug history at FDA,Anti-Doping Classification,,,,
Gavreto,pralsetinib,Capsules,"September 4, 2020","Genentech, Inc.","Non-Small Cell Lung Cancer, Thyroid Cancer",https://www.drugs.com/gavreto.html,https://www.drugs.com/mtm/pralsetinib.html,Multikinase inhibitors,https://www.drugs.com/images/pills/fio/BLU02100.JPG,"Opdivo, methotrexate, Keytruda, Avastin, pembrolizumab, doxorubicin, Armour Thyroid",,,,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,,,,
Gimoti,metoclopramide,Nasal Spray,"June 19, 2020","Evoke Pharma, Inc.",Gastroparesis,https://www.drugs.com/gimoti.html,https://www.drugs.com/metoclopramide.html,GI stimulants,,,,,,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,
Audenz,,,"January 31, 2020",Seqirus,Influenza Prophylaxis,https://www.drugs.com/history/audenz.html,https://www.drugs.com/condition/influenza-prophylaxis.html,,,,,,,Prescription only,Risk data available,Not a controlled drug,,,,,,
Imcivree,setmelanotide,Injection,"November 25, 2020","Rhythm Pharmaceuticals, Inc.",Weight Loss (Obesity/Overweight),https://www.drugs.com/imcivree.html,https://www.drugs.com/mtm/setmelanotide.html,Melanocortin receptor agonists,https://www.drugs.com/images/pills/custom/pill33173-1/imcivree.jpeg,,,,,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,,,,
