name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
Tymlos,abaloparatide,Injection,"April 28, 2017","Radius Health, Inc.",Osteoporosis,https://www.drugs.com/tymlos.html,https://www.drugs.com/mtm/abaloparatide.html,Parathyroid hormone and analogs,,"alendronate, Prolia, Fosamax, calcium carbonate, Premarin, Reclast",4.6,99,https://www.drugs.com/comments/abaloparatide/tymlos.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,Osteoporosis  ,4.6,98,https://www.drugs.com/comments/abaloparatide/tymlos.html
Verzenio,abemaciclib,Tablets,"September 28, 2017",Eli Lilly and Company,Breast Cancer,https://www.drugs.com/verzenio.html,https://www.drugs.com/abemaciclib.html,CDK 4/6 inhibitors,https://www.drugs.com/images/pills/custom/pill26646-1/verzenio.jpeg,,8.0,19,https://www.drugs.com/comments/abemaciclib/verzenio.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,Breast Cancer  ,8.0,19,https://www.drugs.com/comments/abemaciclib/verzenio.html
Calquence,acalabrutinib,Capsules and Tablets,"October 31, 2017",AstraZeneca,Mantle Cell Lymphoma; Chronic Lymphocytic Leukemia,https://www.drugs.com/calquence.html,https://www.drugs.com/mtm/acalabrutinib.html,BTK inhibitors,https://www.drugs.com/images/pills/custom/pill33410-1/calquence.jpeg,,9.2,15,https://www.drugs.com/comments/acalabrutinib/calquence.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,Chronic Lymphocytic Leukemia  ,9.3,13,https://www.drugs.com/comments/acalabrutinib/calquence.html
Mydayis,amphetamine mixed salts,,"June 20, 2017",Shire plc,Attention Deficit Hyperactivity Disorder (ADHD),https://www.drugs.com/mydayis.html,https://www.drugs.com/mtm/amphetamine-and-dextroamphetamine.html,CNS stimulants,https://www.drugs.com/images/pills/fio/SHR04770.JPG,"Adderall, Vyvanse, methylphenidate, atomoxetine, Concerta, Strattera",5.7,142,https://www.drugs.com/comments/amphetamine-dextroamphetamine/mydayis.html,Prescription only,Risk data available,High potential for abuse,Drug history at FDA,,ADHD  ,5.7,140,https://www.drugs.com/comments/amphetamine-dextroamphetamine/mydayis.html
Fasenra,benralizumab,Injection,"November 14, 2017",AstraZeneca,Asthma,https://www.drugs.com/fasenra.html,https://www.drugs.com/benralizumab.html,Interleukin inhibitors,https://www.drugs.com/images/pills/custom/pill32720-2/fasenra.png,,7.6,67,https://www.drugs.com/comments/benralizumab/fasenra.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,Asthma  ,7.5,65,https://www.drugs.com/comments/benralizumab/fasenra.html
Lumify,brimonidine tartrate,Ophthalmic Solution,"December 22, 2017",Bausch + Lomb,Ocular Redness,https://www.drugs.com/lumify.html,https://www.drugs.com/mtm/brimonidine-ophthalmic.html,,,,3.2,171,https://www.drugs.com/comments/brimonidine-ophthalmic/lumify.html,Over the counter,Risk data available,Not a controlled drug,Drug history at FDA,,Eye Redness  ,3.2,166,https://www.drugs.com/comments/brimonidine-ophthalmic/lumify.html
Siliq,brodalumab,Injection,"February 15, 2017","Valeant Pharmaceuticals International, Inc.",Plaque Psoriasis,https://www.drugs.com/siliq.html,https://www.drugs.com/mtm/brodalumab.html,Interleukin inhibitors,,,7.1,18,https://www.drugs.com/comments/brodalumab/siliq.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,Plaque Psoriasis  ,7.5,14,https://www.drugs.com/comments/brodalumab/siliq.html
Sublocade,buprenorphine,Sustained-Release Injection  - formerly RBP-6000,"November 30, 2017",Indivior PLC,Opioid Use Disorder,https://www.drugs.com/sublocade.html,https://www.drugs.com/buprenorphine.html,,https://www.drugs.com/images/pills/custom/pill32932-1/sublocade.jpeg,,7.9,291,https://www.drugs.com/comments/buprenorphine/sublocade.html,Prescription only,Risk data available,Moderate abuse potential,Drug history at FDA,Anti-Doping Classification,Opiate Dependence - Maintenance  ,7.3,154,https://www.drugs.com/comments/buprenorphine/sublocade.html
Clenpiq,"sodium picosulfate, magnesium oxide, and anhydrous citric acid",Oral Solution,"November 28, 2017",Ferring Pharmaceuticals Inc.,Bowel Preparation,https://www.drugs.com/mtm/clenpiq.html,https://www.drugs.com/mtm/citric-acid-magnesium-oxide-and-sodium-picosulfate.html,Laxatives,,,5.8,294,https://www.drugs.com/comments/citric-acid-magnesium-oxide-sodium-picosulfate/clenpiq.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Bowel Preparation  ,5.8,294,https://www.drugs.com/comments/citric-acid-magnesium-oxide-sodium-picosulfate/clenpiq.html
Austedo,deutetrabenazine,Tablets  - formerly SD-809,"April 3, 2017",Teva Pharmaceutical Industries Ltd.,"Huntington's Disease, Tardive Dyskinesia",https://www.drugs.com/austedo.html,https://www.drugs.com/mtm/deutetrabenazine.html,Austedo XR,https://www.drugs.com/images/pills/fio/TEV01720.JPG,,6.2,11,https://www.drugs.com/comments/deutetrabenazine/austedo.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,Tardive Dyskinesia  ,5.7,9,https://www.drugs.com/comments/deutetrabenazine/austedo.html
